image_id,tread_depth_pred,health_score_pred,remaining_life_pred,wear_pattern_pred,risk_level,replacement_urgency
IMG_1902261 - Viren Viren.jpg,2.795,5.4,18.671874999999996,even,MODERATE,Immediate
IMG_1902262 - Viren Viren.jpg,3.0325,5.55,22.3828125,even,LOW,High
IMG_1902263 - Viren Viren.jpg,3.4400000000000004,5.8,28.750000000000004,even,LOW,High
IMG_1902264 - Viren Viren.jpg,3.42,5.79,28.437499999999993,even,LOW,High
IMG_1902265 - Viren Viren.jpg,2.5374999999999996,4.44,14.648437499999991,uneven_wear,MODERATE,Immediate
IMG_1902266 - Viren Viren.jpg,2.4,5.15,12.499999999999996,even,MODERATE,Immediate
IMG_1902267 - Viren Viren.jpg,3.4975000000000005,5.84,29.648437500000004,even,LOW,High
IMG_1902268 - Viren Viren.jpg,2.295,5.08,10.859374999999998,even,MODERATE,Immediate
IMG_1902269 - Viren Viren.jpg,1.8033333333333335,4.38,3.177083333333334,center_wear,MODERATE,Immediate
IMG_19022610 - Viren Viren.jpg,1.2533333333333334,1.78,0.0,critical_wear,CRITICAL,Immediate
IMG_19022611 - Viren Viren.jpg,1.6533333333333333,4.68,0.8333333333333317,even,MODERATE,Immediate
IMG_19022612 - Viren Viren.jpg,1.2833333333333334,1.8,0.0,critical_wear,CRITICAL,Immediate
IMG_19022613 - Viren Viren.jpg,3.5025000000000004,5.04,29.726562500000004,uneven_wear,LOW,High
IMG_19022614 - Viren Viren.jpg,2.4975,4.41,14.0234375,uneven_wear,MODERATE,Immediate
IMG_19022615 - Viren Viren.jpg,2.6950000000000003,4.53,17.109375,uneven_wear,MODERATE,Immediate
IMG_19022616 - Viren Viren.jpg,2.2375,4.15,9.960937499999996,one_sided_wear,MODERATE,Immediate
IMG_19022617 - Viren Viren.jpg,2.32,4.59,11.249999999999996,even,MODERATE,Immediate
IMG_19022618 - Viren Viren.jpg,1.6466666666666667,3.49,0.7291666666666662,uneven_wear,HIGH,Immediate
IMG_19022619 - Viren Viren.jpg,1.8533333333333335,3.61,3.9583333333333344,uneven_wear,HIGH,Immediate
IMG_19022620 - Viren Viren.jpg,2.3533333333333335,4.61,11.770833333333334,even,MODERATE,Immediate
IMG_19022621 - Viren Viren.jpg,2.98,5.51,21.5625,even,MODERATE,High
IMG_19022622 - Viren Viren.jpg,3.125,5.6,23.828124999999996,even,LOW,High
IMG_19022623 - Viren Viren.jpg,3.1399999999999997,5.61,24.062499999999993,even,LOW,High
IMG_19022624 - Viren Viren.jpg,3.0374999999999996,5.55,22.460937499999993,even,LOW,High
IMG_19022625 - Viren Viren.jpg,2.316666666666667,5.1,11.197916666666668,even,MODERATE,Immediate
IMG_19022626 - Viren Viren.jpg,2.3633333333333333,5.13,11.92708333333333,even,MODERATE,Immediate
IMG_19022627 - Viren Viren.jpg,2.3966666666666665,5.15,12.447916666666663,even,MODERATE,Immediate
IMG_19022628 - Viren Viren.jpg,2.38,4.34,12.187499999999996,uneven_wear,MODERATE,Immediate
IMG_19022629 - Viren Viren.jpg,1.5433333333333332,1.96,0.0,critical_wear,CRITICAL,Immediate
IMG_19022630 - Viren Viren.jpg,1.4366666666666668,1.9,0.0,critical_wear,CRITICAL,Immediate
IMG_19022631 - Viren Viren.jpg,1.7866666666666664,4.77,2.916666666666661,even,MODERATE,Immediate
IMG_19022632 - Viren Viren.jpg,2.56,5.25,15.0,even,MODERATE,Immediate
IMG_19022633 - Viren Viren.jpg,0.8666666666666666,1.54,0.0,critical_wear,CRITICAL,Immediate
IMG_19022634 - Viren Viren.jpg,1.47,1.92,0.0,critical_wear,CRITICAL,Immediate
IMG_19022635 - Viren Viren.jpg,1.3433333333333335,1.84,0.0,critical_wear,CRITICAL,Immediate
IMG_19022636 - Viren Viren.jpg,1.7366666666666666,4.74,2.135416666666664,even,MODERATE,Immediate
IMG_19022637 - Viren Viren.jpg,3.1133333333333333,5.6,23.64583333333333,even,LOW,High
IMG_19022638 - Viren Viren.jpg,3.223333333333333,5.66,25.36458333333333,even,LOW,High
IMG_19022639 - Viren Viren.jpg,3.3833333333333333,5.76,27.864583333333332,even,LOW,High
IMG_19022640 - Viren Viren.jpg,3.47,5.82,29.21875,even,LOW,High
IMG_19022641 - Viren Viren.jpg,3.3850000000000002,5.77,27.890625000000004,even,LOW,High
IMG_19022642 - Viren Viren.jpg,3.21,5.66,25.156249999999996,even,LOW,High
IMG_19022643 - Viren Viren.jpg,3.3950000000000005,4.97,28.046875000000004,uneven_wear,LOW,High
IMG_19022644 - Viren Viren.jpg,3.1450000000000005,5.62,24.140625000000004,even,LOW,High
IMG_19022645 - Viren Viren.jpg,3.05,5.56,22.656249999999993,even,LOW,High
IMG_19022646 - Viren Viren.jpg,2.6075,5.28,15.742187499999996,even,MODERATE,Immediate
IMG_19022647 - Viren Viren.jpg,2.6775,5.32,16.8359375,even,MODERATE,Immediate
IMG_7342[1] - Viren Viren.JPG,2.0775,4.95,7.460937500000001,even,MODERATE,Immediate
IMG_7345 - Ubaid Elahi Baba.jpeg,1.9525000000000001,4.17,5.507812500000001,edge_wear,MODERATE,Immediate
IMG_7348 - Ubaid Elahi Baba.jpeg,2.33,5.11,11.40625,even,MODERATE,Immediate
IMG_7351 - Ubaid Elahi Baba.jpeg,2.6725,5.32,16.757812499999996,even,MODERATE,Immediate
IMG_7354 - Ubaid Elahi Baba.jpeg,3.4125,5.38,28.3203125,center_wear,LOW,High
IMG_7357 - Ubaid Elahi Baba.jpeg,3.6025,5.9,31.289062499999996,even,LOW,High
IMG_7361 - Ubaid Elahi Baba.jpeg,3.3750000000000004,5.76,27.734375000000007,even,LOW,High
IMG_7364 - Ubaid Elahi Baba.jpeg,3.3775000000000004,5.76,27.773437500000004,even,LOW,High
IMG_7367 - Ubaid Elahi Baba.jpeg,2.1,4.96,7.8125,even,MODERATE,Immediate
IMG_7370 - Ubaid Elahi Baba.jpeg,2.17,4.51,8.906249999999998,even,MODERATE,Immediate
IMG_7373 - Ubaid Elahi Baba.jpeg,1.4066666666666665,1.88,0.0,critical_wear,CRITICAL,Immediate
IMG_7376 - Ubaid Elahi Baba.jpeg,2.466666666666667,4.79,13.541666666666666,center_wear,MODERATE,Immediate
IMG_7380 - Ubaid Elahi Baba.jpeg,2.0966666666666662,4.96,7.760416666666659,even,MODERATE,Immediate
IMG_7384 - Ubaid Elahi Baba.jpeg,2.1333333333333333,4.98,8.333333333333332,even,MODERATE,Immediate
IMG_7387 - Ubaid Elahi Baba.jpeg,3.653333333333333,5.93,32.08333333333332,even,LOW,High
IMG_7390 - Ubaid Elahi Baba.jpeg,3.6300000000000003,5.92,31.71875,even,LOW,High
IMG_7394 - Ubaid Elahi Baba.jpeg,1.8233333333333333,4.79,3.489583333333331,even,MODERATE,Immediate
IMG_7398 - Ubaid Elahi Baba.jpeg,2.0366666666666666,4.92,6.822916666666664,even,MODERATE,Immediate
IMG_7401 - Ubaid Elahi Baba.jpeg,2.6366666666666667,5.3,16.197916666666664,even,MODERATE,Immediate
IMG_7405 - Ubaid Elahi Baba.jpeg,2.4333333333333336,5.17,13.020833333333334,even,MODERATE,Immediate
IMG_7408 - Ubaid Elahi Baba.jpeg,0.8533333333333334,1.53,0.0,critical_wear,CRITICAL,Immediate
IMG_7411 - Ubaid Elahi Baba.jpeg,0.8633333333333333,1.54,0.0,critical_wear,CRITICAL,Immediate
IMG_7415 - Ubaid Elahi Baba.jpeg,0.41,1.13,0.0,critical_wear,CRITICAL,Immediate
IMG_7418 - Ubaid Elahi Baba.jpeg,0.6733333333333333,1.42,0.0,critical_wear,CRITICAL,Immediate
IMG_7421 - Ubaid Elahi Baba.jpeg,1.9266666666666665,4.85,5.104166666666663,even,MODERATE,Immediate
IMG_7424 - Ubaid Elahi Baba.jpeg,2.12,4.97,8.125,even,MODERATE,Immediate
IMG_7427 - Ubaid Elahi Baba.jpeg,1.5966666666666667,2.0,0.0,critical_wear,CRITICAL,Immediate
IMG_7430 - Ubaid Elahi Baba.jpeg,1.7466666666666668,3.94,2.2916666666666674,uneven_wear,MODERATE,Immediate
IMG_7433 - Ubaid Elahi Baba.jpeg,2.2633333333333336,4.55,10.364583333333337,even,MODERATE,Immediate
IMG_7436 - Ubaid Elahi Baba.jpeg,1.5866666666666667,1.79,0.0,critical_wear,CRITICAL,Immediate
IMG_7439 - Ubaid Elahi Baba.jpeg,1.8699999999999999,4.34,4.2187499999999964,even,MODERATE,Immediate
