image_id,image_path,wear_class,wear_label,tread_depth_mm,feature_tread_spread,feature_center_edge_gap,crack_detected,groove_visible,surface_texture,confidence
IMG_1902261 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902261 - Viren Viren.jpg,3,even,2.795,0.13,0.1,0,True,smooth,0.95
IMG_1902262 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902262 - Viren Viren.jpg,3,even,3.0325,0.2,0.085,0,True,smooth,0.95
IMG_1902263 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902263 - Viren Viren.jpg,3,even,3.4400000000000004,0.26,0.06,0,True,smooth,0.95
IMG_1902264 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902264 - Viren Viren.jpg,3,even,3.42,0.18,0.2,0,True,smooth,0.95
IMG_1902265 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902265 - Viren Viren.jpg,2,uneven_wear,2.5374999999999996,0.11,-0.135,0,True,uneven,0.95
IMG_1902266 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902266 - Viren Viren.jpg,3,even,2.4,0.1,0.18,0,True,smooth,0.95
IMG_1902267 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902267 - Viren Viren.jpg,3,even,3.4975000000000005,0.01,0.405,0,True,smooth,0.95
IMG_1902268 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902268 - Viren Viren.jpg,3,even,2.295,0.43,0.0,0,True,smooth,0.95
IMG_1902269 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902269 - Viren Viren.jpg,0,center_wear,1.8033333333333335,0.66333336,0.66333336,0,True,uneven,0.95
IMG_19022610 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022610 - Viren Viren.jpg,5,critical_wear,1.2533333333333334,0.07333333,0.07333333,0,True,uneven,0.95
IMG_19022611 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022611 - Viren Viren.jpg,3,even,1.6533333333333333,0.26333332,0.26333332,0,True,smooth,0.95
IMG_19022612 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022612 - Viren Viren.jpg,5,critical_wear,1.2833333333333334,0.18333334,0.18333334,0,True,uneven,0.95
IMG_19022613 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022613 - Viren Viren.jpg,2,uneven_wear,3.5025000000000004,0.32,0.385,0,True,uneven,0.95
IMG_19022614 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022614 - Viren Viren.jpg,2,uneven_wear,2.4975,0.36,0.055,0,True,uneven,0.95
IMG_19022615 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022615 - Viren Viren.jpg,2,uneven_wear,2.6950000000000003,0.36,0.43,0,True,uneven,0.95
IMG_19022616 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022616 - Viren Viren.jpg,4,one_sided_wear,2.2375,1.09,-0.115,0,True,uneven,0.95
IMG_19022617 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022617 - Viren Viren.jpg,3,even,2.32,0.21,0.21,0,True,smooth,0.95
IMG_19022618 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022618 - Viren Viren.jpg,2,uneven_wear,1.6466666666666667,0.22333333,-0.22333333,0,True,uneven,0.95
IMG_19022619 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022619 - Viren Viren.jpg,2,uneven_wear,1.8533333333333335,0.22666667,-0.22666667,0,True,uneven,0.95
IMG_19022620 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022620 - Viren Viren.jpg,3,even,2.3533333333333335,0.10333333,0.10333333,0,True,smooth,0.95
IMG_19022621 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022621 - Viren Viren.jpg,3,even,2.98,0.03,0.01,0,True,smooth,0.95
IMG_19022622 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022622 - Viren Viren.jpg,3,even,3.125,0.13,0.1,0,True,smooth,0.95
IMG_19022623 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022623 - Viren Viren.jpg,3,even,3.1399999999999997,0.18,0.26,0,True,smooth,0.95
IMG_19022624 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022624 - Viren Viren.jpg,3,even,3.0374999999999996,0.1,-0.045,0,True,smooth,0.95
IMG_19022625 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022625 - Viren Viren.jpg,3,even,2.316666666666667,0.046666667,0.046666667,0,True,smooth,0.95
IMG_19022626 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022626 - Viren Viren.jpg,3,even,2.3633333333333333,0.033333335,0.033333335,0,True,smooth,0.95
IMG_19022627 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022627 - Viren Viren.jpg,3,even,2.3966666666666665,0.07333333,-0.07333333,0,True,smooth,0.95
IMG_19022628 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022628 - Viren Viren.jpg,2,uneven_wear,2.38,0.31,0.31,0,True,uneven,0.95
IMG_19022629 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022629 - Viren Viren.jpg,5,critical_wear,1.5433333333333332,0.013333334,0.013333334,0,True,uneven,0.95
IMG_19022630 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022630 - Viren Viren.jpg,5,critical_wear,1.4366666666666668,0.14666666,0.14666666,0,True,uneven,0.95
IMG_19022631 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022631 - Viren Viren.jpg,3,even,1.7866666666666664,0.12666667,0.12666667,0,True,smooth,0.95
IMG_19022632 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022632 - Viren Viren.jpg,3,even,2.56,0.01,0.01,0,True,smooth,0.95
IMG_19022633 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022633 - Viren Viren.jpg,5,critical_wear,0.8666666666666666,0.22666667,0.22666667,0,True,uneven,0.95
IMG_19022634 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022634 - Viren Viren.jpg,5,critical_wear,1.47,0.41,0.41,0,True,uneven,0.95
IMG_19022635 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022635 - Viren Viren.jpg,5,critical_wear,1.3433333333333335,0.13333334,0.13333334,0,True,uneven,0.95
IMG_19022636 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022636 - Viren Viren.jpg,3,even,1.7366666666666666,0.026666667,0.026666667,0,True,smooth,0.95
IMG_19022637 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022637 - Viren Viren.jpg,3,even,3.1133333333333333,0.026666667,-0.026666667,0,True,smooth,0.95
IMG_19022638 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022638 - Viren Viren.jpg,3,even,3.223333333333333,0.10666667,-0.10666667,0,True,smooth,0.95
