image_id,sidewall_image_path,brand_raw,brand_cleaned,tire_size_raw,tire_size_cleaned,manufacture_week,manufacture_year,ocr_confidence
IMG_1902261 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_19022648 - Viren Viren.jpg,Goodyear,Goodyear,215/60 R16,215/60 R16,25.0,2024.0,0.95
IMG_1902262 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_19022649 - Viren Viren.jpg,Goodyear,Goodyear,215/60 R16,215/60 R16,27.0,2024.0,0.95
IMG_1902263 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_19022650 - Viren Viren.jpg,Goodyear,Goodyear,215/60 R16,215/60 R16,25.0,2024.0,0.95
IMG_1902264 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_19022651 - Viren Viren.jpg,Goodyear,Goodyear,215/60 R16,215/60 R16,25.0,2024.0,0.95
IMG_1902265 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022652 - Viren Viren.jpg,Apollo,Apollo,185/65 R15,185/65 R15,45.0,2022.0,0.95
IMG_1902266 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022653 - Viren Viren.jpg,Apollo,Apollo,185/65 R15,185/65 R15,44.0,2022.0,0.95
IMG_1902267 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022654 - Viren Viren.jpg,Apollo,Apollo,185/65 R15,185/65 R15,44.0,2022.0,0.95
IMG_1902268 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022655 - Viren Viren.jpg,Apollo,Apollo,185/65 R15,185/65 R15,44.0,2022.0,0.95
IMG_1902269 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_19022656 - Viren Viren.jpg,Yokohama,Yokohama,175/60 R15,175/60 R15,47.0,2022.0,0.95
IMG_19022610 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_19022657 - Viren Viren.jpg,Yokohama,Yokohama,175/60 R15,175/60 R15,47.0,2022.0,0.95
IMG_19022611 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_19022658 - Viren Viren.jpg,Yokohama,Yokohama,175/60 R15,175/60 R15,47.0,2022.0,0.95
IMG_19022612 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_19022659 - Viren Viren.jpg,Yokohama,Yokohama,175/60 R15,175/60 R15,47.0,2022.0,0.95
IMG_19022613 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022660 - Viren Viren.jpg,Apollo,Apollo,215/60 R17,215/60 R17,,,0.95
IMG_19022614 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022661 - Viren Viren.jpg,Apollo,Apollo,215/60 R17,215/60 R17,42.0,2024.0,0.95
IMG_19022615 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022662 - Viren Viren.jpg,Apollo,Apollo,215/60 R17,215/60 R17,13.0,2025.0,0.95
IMG_19022616 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022663 - Viren Viren.jpg,Apollo,Apollo,215/60 R17,215/60 R17,,,0.95
IMG_19022617 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022664 - Viren Viren.jpg,Apollo,Apollo,165/70 R14,165/70 R14,45.0,2019.0,0.95
IMG_19022618 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022665 - Viren Viren.jpg,Apollo,Apollo,165/70 R14,165/70 R14,45.0,2019.0,0.95
IMG_19022619 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022666 - Viren Viren.jpg,Apollo,Apollo,165/70 R14,165/70 R14,45.0,2019.0,0.95
IMG_19022620 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022667 - Viren Viren.jpg,Apollo,Apollo,165/70 R14,165/70 R14,45.0,2019.0,0.95
IMG_19022621 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022668 - Viren Viren.jpg,Apollo,Apollo,255/60 R16,255/60 R16,14.0,2024.0,0.95
IMG_19022622 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022669 - Viren Viren.jpg,Apollo,Apollo,255/60 R18,255/60 R18,14.0,2024.0,0.95
IMG_19022623 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022670 - Viren Viren.jpg,Apollo,Apollo,255/60 R18,255/60 R18,14.0,2024.0,0.95
IMG_19022624 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022671 - Viren Viren.jpg,Apollo,Apollo,255/60 R18,255/60 R18,14.0,2024.0,0.95
IMG_19022625 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_19022672 - Viren Viren.jpg,Bridgestone,Bridgestone,165/80 R14,165/80 R14,11.0,2029.0,0.95
IMG_19022626 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_19022673 - Viren Viren.jpg,Bridgestone,Bridgestone,165/80 R14,165/80 R14,11.0,2029.0,0.95
IMG_19022627 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_19022674 - Viren Viren.jpg,Bridgestone,Bridgestone,165/80 R14,165/80 R14,11.0,2029.0,0.95
IMG_19022628 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_19022675 - Viren Viren.jpg,Bridgestone,Bridgestone,165/80 R14,165/80 R14,11.0,2029.0,0.95
IMG_19022629 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\MRF\IMG_19022676 - Viren Viren.jpg,MRF,MRF,165/70 R14,165/70 R14,2.0,2023.0,0.95
