image_id,health_score,remaining_life_km,remaining_life_pred,risk_score,risk_level,replacement_urgency,replace_recommended
IMG_1902261 - Viren Viren.jpg,5.4,14937.0,18.671874999999996,30,MODERATE,Immediate,True
IMG_1902262 - Viren Viren.jpg,5.55,17906.0,22.3828125,0,LOW,High,True
IMG_1902263 - Viren Viren.jpg,5.8,23000.0,28.750000000000004,0,LOW,High,True
IMG_1902264 - Viren Viren.jpg,5.79,22750.0,28.437499999999993,0,LOW,High,True
IMG_1902265 - Viren Viren.jpg,4.44,11719.0,14.648437499999991,50,MODERATE,Immediate,True
IMG_1902266 - Viren Viren.jpg,5.15,10000.0,12.499999999999996,30,MODERATE,Immediate,True
IMG_1902267 - Viren Viren.jpg,5.84,23719.0,29.648437500000004,0,LOW,High,True
IMG_1902268 - Viren Viren.jpg,5.08,8688.0,10.859374999999998,30,MODERATE,Immediate,True
IMG_1902269 - Viren Viren.jpg,4.38,2542.0,3.177083333333334,30,MODERATE,Immediate,True
IMG_19022610 - Viren Viren.jpg,1.78,0.0,0.0,85,CRITICAL,Immediate,True
IMG_19022611 - Viren Viren.jpg,4.68,667.0,0.8333333333333317,30,MODERATE,Immediate,True
IMG_19022612 - Viren Viren.jpg,1.8,0.0,0.0,85,CRITICAL,Immediate,True
IMG_19022613 - Viren Viren.jpg,5.04,23781.0,29.726562500000004,20,LOW,High,True
IMG_19022614 - Viren Viren.jpg,4.41,11219.0,14.0234375,50,MODERATE,Immediate,True
IMG_19022615 - Viren Viren.jpg,4.53,13688.0,17.109375,50,MODERATE,Immediate,True
IMG_19022616 - Viren Viren.jpg,4.15,7969.0,9.960937499999996,50,MODERATE,Immediate,True
IMG_19022617 - Viren Viren.jpg,4.59,9000.0,11.249999999999996,50,MODERATE,Immediate,True
IMG_19022618 - Viren Viren.jpg,3.49,583.0,0.7291666666666662,70,HIGH,Immediate,True
IMG_19022619 - Viren Viren.jpg,3.61,3167.0,3.9583333333333344,70,HIGH,Immediate,True
