image_id,tread_1,tread_2,tread_3,tread_4,tread_average,brand,tire_size,condition,manufacture_year,tread_depth_class
IMG_1902261 - Viren Viren.jpg,2.68,2.84,2.85,2.81,2.795,Goodyear,215/60 R16,moderate,2024.0,Replace Soon
IMG_1902262 - Viren Viren.jpg,3.09,3.04,3.11,2.89,3.0325,Goodyear,215/60 R16,moderate,2024.0,Replace Soon
IMG_1902263 - Viren Viren.jpg,3.28,3.46,3.48,3.54,3.4400000000000004,Goodyear,215/60 R16,moderate,2024.0,Replace Soon
IMG_1902264 - Viren Viren.jpg,3.23,3.42,3.62,3.41,3.42,Goodyear,215/60 R16,moderate,2024.0,Replace Soon
IMG_1902265 - Viren Viren.jpg,2.66,2.92,2.02,2.55,2.5374999999999996,Apollo,185/65 R15,moderate,2022.0,Replace Soon
IMG_1902266 - Viren Viren.jpg,2.36,2.52,2.46,2.26,2.4,Apollo,185/65 R15,moderate,2022.0,Replace Soon
IMG_1902267 - Viren Viren.jpg,3.29,3.7,3.7,3.3,3.4975000000000005,Apollo,185/65 R15,moderate,2022.0,Replace Soon
IMG_1902268 - Viren Viren.jpg,2.51,2.28,2.31,2.08,2.295,Apollo,185/65 R15,moderate,2022.0,Replace Soon
IMG_1902269 - Viren Viren.jpg,1.14,2.61,1.66,1.8033333333333335,1.8033333333333335,Yokohama,175/60 R15,moderate,2022.0,Dangerous
IMG_19022610 - Viren Viren.jpg,1.18,1.23,1.35,1.2533333333333334,1.2533333333333334,Yokohama,175/60 R15,replace,2022.0,Dangerous
IMG_19022611 - Viren Viren.jpg,1.39,1.81,1.76,1.6533333333333333,1.6533333333333333,Yokohama,175/60 R15,moderate,2022.0,Dangerous
IMG_19022612 - Viren Viren.jpg,1.1,1.31,1.44,1.2833333333333334,1.2833333333333334,Yokohama,175/60 R15,replace,2022.0,Dangerous
IMG_19022613 - Viren Viren.jpg,3.47,3.92,3.47,3.15,3.5025000000000004,Apollo,215/60 R17,moderate,,Replace Soon
IMG_19022614 - Viren Viren.jpg,2.65,2.93,2.12,2.29,2.4975,Apollo,215/60 R17,moderate,2024.0,Replace Soon
IMG_19022615 - Viren Viren.jpg,2.66,2.77,3.05,2.3,2.6950000000000003,Apollo,215/60 R17,moderate,2025.0,Replace Soon
IMG_19022616 - Viren Viren.jpg,2.84,2.2,2.16,1.75,2.2375,Apollo,215/60 R17,moderate,,Replace Soon
IMG_19022617 - Viren Viren.jpg,2.11,2.31,2.54,2.32,2.32,Apollo,165/70 R14,moderate,2019.0,Replace Soon
IMG_19022618 - Viren Viren.jpg,1.87,1.75,1.32,1.6466666666666667,1.6466666666666667,Apollo,165/70 R14,moderate,2019.0,Dangerous
IMG_19022619 - Viren Viren.jpg,2.08,1.95,1.53,1.8533333333333335,1.8533333333333335,Apollo,165/70 R14,moderate,2019.0,Dangerous
