image_id,wear_pattern,class_id,condition,severity,cause,corrective_action
IMG_1902261 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_1902262 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_1902263 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_1902264 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_1902265 - Viren Viren.jpg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_1902266 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_1902267 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_1902268 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_1902269 - Viren Viren.jpg,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_19022610 - Viren Viren.jpg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_19022611 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022612 - Viren Viren.jpg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_19022613 - Viren Viren.jpg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_19022614 - Viren Viren.jpg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_19022615 - Viren Viren.jpg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_19022616 - Viren Viren.jpg,one_sided_wear,4,moderate,moderate,Possible alignment issue,Inspect pressure and alignment
IMG_19022617 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022618 - Viren Viren.jpg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_19022619 - Viren Viren.jpg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_19022620 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022621 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022622 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022623 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022624 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022625 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022626 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022627 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022628 - Viren Viren.jpg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_19022629 - Viren Viren.jpg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_19022630 - Viren Viren.jpg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_19022631 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022632 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022633 - Viren Viren.jpg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_19022634 - Viren Viren.jpg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
