image_id,sidewall_image_id,tread_1,tread_2,tread_3,tread_4,tread_average,brand,tire_model,tire_size,condition,condition_id,wear_pattern,wear_class_6,health_score,health_norm,remaining_life_km,remaining_life_norm,remaining_life_pred,replacement_urgency,risk_score,risk_level,replace_recommended,manufacture_week,manufacture_year,ocr_confidence,tube_type,image_path,front_image_path,sidewall_image_path,dataset_front_path,dataset_sidewall_path,has_image,has_sidewall_image,feature_tread_spread,feature_center_edge_gap
IMG_1902261 - Viren Viren.jpg,IMG_19022648 - Viren Viren,2.68,2.84,2.85,2.81,2.795,Goodyear,Assurance max guard,215/60 R16,moderate,1,even,3,5.4,0.54,14937.0,0.1867125,18.671874999999996,Immediate,30,MODERATE,True,25.0,2024.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902261 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902261 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_19022648 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_1902261 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_19022648 - Viren Viren.jpg,True,True,0.13,0.1
IMG_1902262 - Viren Viren.jpg,IMG_19022649 - Viren Viren,3.09,3.04,3.11,2.89,3.0325,Goodyear,Assurance max guard,215/60 R16,moderate,1,even,3,5.55,0.555,17906.0,0.223825,22.3828125,High,0,LOW,True,27.0,2024.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902262 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902262 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_19022649 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_1902262 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_19022649 - Viren Viren.jpg,True,True,0.2,0.085
IMG_1902263 - Viren Viren.jpg,IMG_19022650 - Viren Viren.jpg,3.28,3.46,3.48,3.54,3.4400000000000004,Goodyear,Assurance max guard,215/60 R16,moderate,1,even,3,5.8,0.58,23000.0,0.2875,28.750000000000004,High,0,LOW,True,25.0,2024.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902263 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902263 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_19022650 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_1902263 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_19022650 - Viren Viren.jpg,True,True,0.26,0.06
IMG_1902264 - Viren Viren.jpg,IMG_19022651 - Viren Viren.jpg,3.23,3.42,3.62,3.41,3.42,Goodyear,Assurance max guard,215/60 R16,moderate,1,even,3,5.79,0.579,22750.0,0.284375,28.437499999999993,High,0,LOW,True,25.0,2024.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902264 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902264 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_19022651 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_1902264 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_19022651 - Viren Viren.jpg,True,True,0.18,0.2
IMG_1902265 - Viren Viren.jpg,IMG_19022652 - Viren Viren.jpg,2.66,2.92,2.02,2.55,2.5374999999999996,Apollo,Alnac 4G,185/65 R15,moderate,1,uneven_wear,2,4.44,0.444,11719.0,0.1464875,14.648437499999991,Immediate,50,MODERATE,True,45.0,2022.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902265 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902265 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022652 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_1902265 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_19022652 - Viren Viren.jpg,True,True,0.11,-0.135
IMG_1902266 - Viren Viren.jpg,IMG_19022653 - Viren Viren.jpg,2.36,2.52,2.46,2.26,2.4,Apollo,Alnac 4G,185/65 R15,moderate,1,even,3,5.15,0.515,10000.0,0.125,12.499999999999996,Immediate,30,MODERATE,True,44.0,2022.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902266 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902266 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022653 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_1902266 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_19022653 - Viren Viren.jpg,True,True,0.1,0.18
IMG_1902267 - Viren Viren.jpg,IMG_19022654 - Viren Viren.jpg,3.29,3.7,3.7,3.3,3.4975000000000005,Apollo,Alnac 4G,185/65 R15,moderate,1,even,3,5.84,0.584,23719.0,0.2964875,29.648437500000004,High,0,LOW,True,44.0,2022.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902267 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902267 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022654 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_1902267 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_19022654 - Viren Viren.jpg,True,True,0.01,0.405
IMG_1902268 - Viren Viren.jpg,IMG_19022655 - Viren Viren.jpg,2.51,2.28,2.31,2.08,2.295,Apollo,Alnac 4G,185/65 R15,moderate,1,even,3,5.08,0.508,8688.0,0.1086,10.859374999999998,Immediate,30,MODERATE,True,44.0,2022.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902268 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902268 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_19022655 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_1902268 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_19022655 - Viren Viren.jpg,True,True,0.43,0.0
IMG_1902269 - Viren Viren.jpg,IMG_19022656 - Viren Viren.jpg,1.14,2.61,1.66,1.8033333333333335,1.8033333333333335,Yokohama,Bluearth FE AE30,175/60 R15,moderate,1,center_wear,0,4.38,0.438,2542.0,0.031775,3.177083333333334,Immediate,30,MODERATE,True,47.0,2022.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902269 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902269 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_19022656 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_1902269 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_19022656 - Viren Viren.jpg,True,True,0.66333336,0.66333336
IMG_19022610 - Viren Viren.jpg,IMG_19022657 - Viren Viren.jpg,1.18,1.23,1.35,1.2533333333333334,1.2533333333333334,Yokohama,Bluearth FE AE30,175/60 R15,replace,2,critical_wear,5,1.78,0.178,0.0,0.0,0.0,Immediate,85,CRITICAL,True,47.0,2022.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022610 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022610 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_19022657 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_19022610 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_19022657 - Viren Viren.jpg,True,True,0.07333333,0.07333333
