image_id,sidewall_image_id,tread_1,tread_2,tread_3,tread_4,tread_average,brand,tire_model,tire_size,condition,condition_id,wear_pattern,wear_class_6,health_score,health_norm,remaining_life_km,remaining_life_norm,remaining_life_pred,replacement_urgency,risk_score,risk_level,replace_recommended,manufacture_week,manufacture_year,ocr_confidence,tube_type,image_path,front_image_path,sidewall_image_path,dataset_front_path,dataset_sidewall_path,has_image,has_sidewall_image,feature_tread_spread,feature_center_edge_gap
IMG20260128123126.jpg,,1.79,1.9,1.6,1.7633333333333334,1.7633333333333334,Unknown,,Unknown,moderate,1,even,3,4.75,0.475,2042.0,0.025525,2.5520833333333335,Immediate,30,MODERATE,True,,,0.3,,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG20260128123126.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG20260128123126.jpg,,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG20260128123126.jpg,,True,False,0.026666667,-0.026666667
IMG_9662 - Ubaid Elahi Baba.JPG,IMG_9663 - Ubaid Elahi Baba.JPG,5.74,6.19,4.84,5.59,5.59,CEAT,securadrive,185/70 R15,safe,0,uneven_wear,2,7.39,0.739,49875.0,0.6234375,62.34375,Medium,20,LOW,False,27.0,2023.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_9662 - Ubaid Elahi Baba.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_9662 - Ubaid Elahi Baba.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\CEAT\IMG_9663 - Ubaid Elahi Baba.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_9662 - Ubaid Elahi Baba.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_9663 - Ubaid Elahi Baba.JPG,True,True,0.15,-0.15
IMG_0256 - Viren Viren.JPG,IMG_0257 - Viren Viren.JPG,5.78,6.55,6.56,6.04,6.2325,MRF,Wanderer  Ecotread,215/60 R17,safe,0,center_wear,0,8.2,0.82,57906.0,0.723825,72.3828125,Low,0,LOW,False,43.0,2022.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_0256 - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_0256 - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\MRF\IMG_0257 - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_0256 - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_0257 - Viren Viren.JPG,True,True,0.26,0.645
IMG_8472[1] - Viren Viren.JPG,IMG_8473[1] - Viren Viren.JPG,3.01,3.09,2.78,2.82,2.925,JK Tyre,UX Royale,215/55 R18,moderate,1,even,3,5.48,0.548,16562.0,0.207025,20.703124999999993,High,30,MODERATE,True,13.0,2025.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_8472[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_8472[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\JK Tyre\IMG_8473[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_8472[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_8473[1] - Viren Viren.JPG,True,True,0.19,0.02
https://drive.google.com/open?id=197MhN36peHjH1Am22NifvM5kMZl9-4_-,,2.46,2.7,2.58,2.58,2.58,Unknown,,Unknown,moderate,1,even,3,5.26,0.526,12250.0,0.153125,15.312499999999998,Immediate,30,MODERATE,True,,,0.3,,,,,,,False,False,0.12,0.12
IMG20260402103930 - Viren Viren.jpg,,4.87,5.4,5.4,5.08,5.1875,Unknown,,Unknown,safe,0,uneven_wear,2,7.14,0.714,44844.0,0.56055,56.0546875,Medium,20,LOW,False,,,0.3,,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG20260402103930 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG20260402103930 - Viren Viren.jpg,,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG20260402103930 - Viren Viren.jpg,,True,False,0.21,0.425
IMG_8841 - Viren Viren.JPG,IMG_8842 - Viren Viren.JPG,4.27,4.99,4.96,4.739999999999999,4.739999999999999,MRF,ZVTV,165/70 R14,safe,0,uneven_wear,2,6.86,0.686,39250.0,0.490625,49.062499999999986,Medium,20,LOW,False,,,0.3,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_8841 - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_8841 - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\MRF\IMG_8842 - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_8841 - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_8842 - Viren Viren.JPG,True,True,0.47,0.47
IMG20260121114853.jpg,,1.01,2.0,1.31,1.4400000000000002,1.4400000000000002,Unknown,,Unknown,replace,2,critical_wear,5,1.9,0.19,0.0,0.0,0.0,Immediate,85,CRITICAL,True,,,0.3,,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG20260121114853.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG20260121114853.jpg,,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG20260121114853.jpg,,True,False,0.43,0.43
IMG_8224[1] - Viren Viren.JPG,IMG_8223[1] - Viren Viren.JPG,2.59,2.81,2.99,2.99,2.845,Apollo,Ainac 4G,185/65 R15,moderate,1,even,3,5.43,0.543,15562.0,0.194525,19.453125,Immediate,30,MODERATE,True,37.0,2024.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_8224[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_8224[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_8223[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_8224[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_8223[1] - Viren Viren.JPG,True,True,0.4,0.11
IMG_19022641 - Viren Viren.jpg,IMG_19022688 - Viren Viren.jpg,3.1,3.59,3.54,3.31,3.3850000000000002,Michelin,pilot sport,205/55 ZR16,moderate,1,even,3,5.77,0.577,22312.0,0.2789,27.890625000000004,High,0,LOW,True,23.0,2024.0,0.95,TUBELESS,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022641 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022641 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Michelin\IMG_19022688 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\front_view\IMG_19022641 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\images\sidewall\IMG_19022688 - Viren Viren.jpg,True,True,0.21,0.36
